Facultad ;Hombres ;Mujeres ;Total 
Medicina ;348;468;816
Humanidades ;1,097;1,458;2,555
Enfermer¡a ;94;382;476
Econom¡a;397;461;858
Derecho ;596;1,037;1,633
Comunicaci¢n;266;322;588
Ciencias ;556;1,067;1,623
Ciencias E.;468;1,633;2,101
Arquitectura ;132;137;269
Administraci¢n de E. ;222;743;965
Administraci¢n E. ;543;1,084;1,627
Sub-sedes;257;306;563
Boquete ;337;671;1,008
Cruta;374;791;1,165
Chuchio;845;973;1,818
Cruba ;541;997;1,538
